id,Description,Seller Message,Created (UTC),Amount,Amount Refunded,Currency,Status,Customer ID,Captured,Card ID,Card Brand,Card Funding,Card Exp Month,Card Exp Year,Card Address Country,Card Issue Country,Card CVC Status,Card AVS Zip Status,Card AVS Line1 Status,Invoice ID,Invoice Number,Payment Source Type,Destination,Transfer,Interchange Costs,Merchant Service Charge,Transfer Group,PaymentIntent ID,invoiceNumber (metadata),mySugr-Backend-Region (metadata)
ch_1GhDffGF2YxxrSPI7S2jhwmt,Charge for payment 8f6ce891-fb62-41fe-898e-fb8d53ac9e74,Payment complete.,2020-05-10 11:50,"49,00","0,00",usd,Paid,cus_HFj7dkh8RgzHHd,true,src_1GhDelGF2YxxrSPIvE03Ngbl,Visa,credit,1,2024,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhDEUGF2YxxrSPIF2Qv53sc,Invoice 8169F3A-0035,Payment complete.,2020-05-10 11:22,"49,00","0,00",usd,Paid,cus_Bqfv4gRoJdsWEy,true,src_1FzKc5GF2YxxrSPI4DIIZIuF,American Express,credit,8,2023,us,US,,pass,pass,in_1GhCIMGF2YxxrSPIJw237gsG,8169F3A-0035,card,,,,,,pi_1GhDEUGF2YxxrSPIViCeGQBL,US 2020-4336,
ch_1GhCiaGF2YxxrSPIPhrdIC4B,Charge for payment a4e8040f-a3ec-4612-9664-572b329c6d23,Payment complete.,2020-05-10 10:49,"49,00","0,00",usd,Paid,cus_HFi8aSQQ9CCz4N,true,src_1GhChjGF2YxxrSPIlEY9jl3L,Visa,credit,10,2021,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GhCC3GF2YxxrSPIVbIhUCFv,Charge for payment 0f6b86e1-0980-4b1a-aaef-a5b7f4ccc579,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_GamVDWqW351YzH,false,src_1G3aqeGF2YxxrSPI4vT91Sq7,Visa,credit,12,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhCBxGF2YxxrSPIfJloqeC8,Charge for payment 440784ec-6a09-4954-b5f7-1fa3a2dafb60,The bank returned the decline code `transaction_not_allowed`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_GnaR79aVD1ZbCW,false,src_1GFzCXGF2YxxrSPIAwwgbfrO,MasterCard,debit,10,2022,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GhCBrGF2YxxrSPIV5wnDqG4,Charge for payment 101e219d-7c11-4746-a866-b62b0f246347,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_Gk1pCDKrODks6U,false,src_1GCXkWGF2YxxrSPI9dOPuNYL,Visa,debit,1,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhCBnGF2YxxrSPIwLBgzjTP,Charge for payment 5915a289-db29-46e6-b71e-585b844cc429,The bank returned the decline code `incorrect_number`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_GZafzD5Dax7aav,false,src_1G2RUCGF2YxxrSPI02aVeB2Z,Visa,debit,9,2022,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhCBiGF2YxxrSPIQQYgkgv3,Charge for payment 34248703-fc15-44f1-bdb6-c40c362262b5,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_Gx7VLaS2Js2Ux2,false,src_1GPDG0GF2YxxrSPI0jCm0K6i,Visa,credit,4,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhCBdGF2YxxrSPIY93tngA3,Charge for payment af196bfe-b4b0-4c34-adf7-bfef9b06bc96,The bank returned the decline code `incorrect_number`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_GbmsfbNXfJV4EX,false,src_1G4ZHhGF2YxxrSPISh30A00m,Visa,debit,4,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhCBXGF2YxxrSPIoxVAdxZ5,Charge for payment 792c16fc-3cfa-4e2e-837a-3fff92af651e,The bank returned the decline code `insufficient_funds`.,2020-05-10 10:15,"49,00","0,00",usd,Failed,cus_GoaaJez9NKtgn4,false,src_1GGxOjGF2YxxrSPIKNTS3Kar,Visa,credit,2,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GhBsxGF2YxxrSPIG1eOUaXU,Charge for payment c3ad8480-f998-4546-96c8-fed030fbcb82,Payment complete.,2020-05-10 09:55,"49,00","0,00",usd,Paid,cus_HFhH14XOgLXTJB,true,src_1GhBs5GF2YxxrSPIYS4kfePG,MasterCard,debit,10,2020,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1Gh77GGF2YxxrSPIA1c2ct3s,Charge for payment fabfbc29-534e-4267-94ef-048499fb4fbf,Payment complete.,2020-05-10 04:50,"49,00","0,00",usd,Paid,cus_GhtHDmC95Zip18,true,src_1GATTdGF2YxxrSPIr71QN8LU,MasterCard,credit,8,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Gh6ZHGF2YxxrSPIxnOEYK53,Charge for payment 1e959604-7ae4-43bb-9bbc-a8733de82900,The bank returned the decline code `do_not_honor`.,2020-05-10 04:15,"49,00","0,00",usd,Failed,cus_GgRN228M6l4Hhu,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,us,US,,fail,fail,,,card,,,,,,,,US
ch_1Gh6Z8GF2YxxrSPIr7WBRTze,Charge for payment 7fea0e31-1048-406a-bea7-2dc7d3ea33b0,The bank returned the decline code `do_not_honor`.,2020-05-10 04:15,"49,00","0,00",usd,Failed,cus_GqRbAwxmcvyPSC,false,src_1GIkhsGF2YxxrSPInXj6Dh6L,MasterCard,credit,1,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Gh3OFGF2YxxrSPIXfObmcvD,Charge for payment c8157401-57d1-4319-a131-5ba71a1668bc,Payment complete.,2020-05-10 00:51,"49,00","0,00",usd,Paid,cus_H4IV4C26bQYxwX,true,src_1GW9s7GF2YxxrSPI5Q1IXmF2,MasterCard,debit,10,2022,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Gh2VqGF2YxxrSPIsLiZ4Z6k,Charge for payment 92187b73-4513-49b2-a79c-e12f45283237,Payment complete.,2020-05-09 23:55,"49,00","0,00",usd,Paid,cus_HFXaCvGrmiw7rk,true,src_1Gh2UrGF2YxxrSPI8jxJ1K4k,Visa,debit,9,2021,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1Gh2SfGF2YxxrSPImlAx1e12,Charge for payment 6e824ad7-0d7e-4287-bf5c-87bcffe41d5b,Payment complete.,2020-05-09 23:52,"49,00","0,00",usd,Paid,cus_GhoG0TEwaLJJUA,true,src_1GAOdSGF2YxxrSPIHlqzSNJ6,MasterCard,credit,9,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Gh1d2GF2YxxrSPIvDfpFVgz,Invoice 4FEDBD24-0014,Payment complete.,2020-05-09 22:58,"49,00","0,00",usd,Paid,cus_EnnFBMUBFNRwn1,true,card_1GfZpiGF2YxxrSPIW2GchCNT,Visa,credit,9,2024,,US,,,,in_1Ge6s5GF2YxxrSPIxyaT8AYS,4FEDBD24-0014,card,,,,,,pi_1Ge7oJGF2YxxrSPIKwmybgYn,US 2020-4327,
ch_1Gh0wjGF2YxxrSPIwN2nExDe,Charge for payment c75931c5-917f-4fc6-bdba-bab77a6b0099,The bank returned the decline code `stolen_card`.,2020-05-09 22:15,"49,00","0,00",usd,Failed,cus_FKmt81qeNtFYJv,false,src_1Eq7KIGF2YxxrSPII1PnMSDR,Visa,debit,3,2023,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1Gh0fgGF2YxxrSPIhT8kuxW7,Invoice 733391F0-0007,Payment complete.,2020-05-09 21:57,"49,00","0,00",usd,Paid,cus_G9Il0VOwnqRsBJ,true,src_1Fd0zcGF2YxxrSPIkH0wMDfg,MasterCard,credit,9,2024,us,US,,pass,pass,in_1GgzjaGF2YxxrSPIMl91Lcmf,733391F0-0007,card,,,,,,pi_1Gh0fgGF2YxxrSPIIh1nGn98,US 2020-4326,
ch_1Ggz58GF2YxxrSPIez2oldak,Charge for payment 0ea43408-ee48-48f2-bff5-0718f7ff7198,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_Gaz70FBIL8S6x8,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1Ggz56GF2YxxrSPIDihWaOOp,Charge for payment 5e28e662-a197-40d1-891a-808668d123c2,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_GgRN228M6l4Hhu,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,us,US,,fail,fail,,,card,,,,,,,,US
ch_1Ggz52GF2YxxrSPIbtkPpJAz,Charge for payment 8444c109-5e47-482e-acbe-730ca1823b44,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_Gk1pCDKrODks6U,false,src_1GCXkWGF2YxxrSPI9dOPuNYL,Visa,debit,1,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggz4wGF2YxxrSPISPaBdv9N,Charge for payment 2d3d5939-a554-4d87-9f86-26963df3c714,The bank returned the decline code `incorrect_number`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_GbmsfbNXfJV4EX,false,src_1G4ZHhGF2YxxrSPISh30A00m,Visa,debit,4,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggz4tGF2YxxrSPImdpqd3RS,Charge for payment 0cc3b9f4-173c-49c3-a7b0-d15e8d8c2100,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_GfEHNMrJvBxe0s,false,src_1G7tm8GF2YxxrSPIQJJuctVb,Visa,credit,7,2020,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggz4oGF2YxxrSPICwJ2pZie,Charge for payment 27bd83bc-4c47-4ddc-9ba8-221f8fdabee6,The bank returned the decline code `incorrect_number`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_GjjAnhCiQE3h8y,false,src_1GCFgpGF2YxxrSPIwtowGYYs,Visa,debit,8,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggz4jGF2YxxrSPIKFfyszxA,Charge for payment 6a43ce60-c6ef-4092-a179-a6a011ada24a,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_GoQ5nh9gA3g6Xc,false,src_1GGnFTGF2YxxrSPIBqMU4nAy,Visa,debit,6,2022,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggz4dGF2YxxrSPIZJqrcXfN,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 20:15,"49,00","0,00",usd,Failed,cus_Fo1Zr8JP3lCPbz,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgxfrGF2YxxrSPIXcNl3tYm,Invoice A45DC0E6-0014,Payment complete.,2020-05-09 18:45,"49,00","0,00",usd,Paid,cus_Er6CYX0hjZkYvG,true,card_1FSWG1GF2YxxrSPINKO1QJ5o,Visa,credit,3,2024,,US,,,,in_1GgwjgGF2YxxrSPIuhmletKx,A45DC0E6-0014,card,,,,,,pi_1GgxfrGF2YxxrSPIeXjlYwHL,US 2020-4325,
ch_1GgxCTGF2YxxrSPIaQ8i0Wjm,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 18:15,"49,00","0,00",usd,Failed,cus_Fo1Zr8JP3lCPbz,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgwqOGF2YxxrSPIpaxkEF7L,Charge for payment 8fe29f37-5875-4eb4-95b2-3b06d431f815,Payment complete.,2020-05-09 17:52,"49,00","0,00",usd,Paid,cus_H4CJt1uxkneIiw,true,src_1GW3tJGF2YxxrSPIZzyUTXCv,MasterCard,credit,6,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgvVoGF2YxxrSPIPN8MFmBr,Charge for payment 1fff3321-19ca-46d3-8894-d9577619d1fc,Payment complete.,2020-05-09 16:26,"49,00","0,00",usd,Paid,cus_HFQLdM4eqQZ52Z,true,src_1GgvTgGF2YxxrSPIt1z2c9on,Visa,debit,2,2024,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GgvKeGF2YxxrSPIJdAo907L,Charge for payment 0ea43408-ee48-48f2-bff5-0718f7ff7198,The bank returned the decline code `do_not_honor`.,2020-05-09 16:15,"49,00","0,00",usd,Failed,cus_Gaz70FBIL8S6x8,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GgvKbGF2YxxrSPIh1PsehPA,Charge for payment 5e28e662-a197-40d1-891a-808668d123c2,The bank returned the decline code `do_not_honor`.,2020-05-09 16:15,"49,00","0,00",usd,Failed,cus_GgRN228M6l4Hhu,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,us,US,,fail,fail,,,card,,,,,,,,US
ch_1GgvKUGF2YxxrSPIgxSizJra,Charge for payment 27bd83bc-4c47-4ddc-9ba8-221f8fdabee6,The bank returned the decline code `incorrect_number`.,2020-05-09 16:15,"49,00","0,00",usd,Failed,cus_GjjAnhCiQE3h8y,false,src_1GCFgpGF2YxxrSPIwtowGYYs,Visa,debit,8,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgvKMGF2YxxrSPIHWOxCwDj,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 16:15,"49,00","0,00",usd,Failed,cus_Fo1Zr8JP3lCPbz,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgtSQGF2YxxrSPIDdlq7xs4,Charge for payment 4c18457c-f0e0-4403-a3b9-cc542257a3e3,The bank returned the decline code `do_not_honor`.,2020-05-09 14:15,"49,00","0,00",usd,Failed,cus_GoQ5nh9gA3g6Xc,false,src_1GGnFTGF2YxxrSPIBqMU4nAy,Visa,debit,6,2022,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgtSJGF2YxxrSPIv4n6r5hI,Charge for payment 4806f13f-1d8f-4684-9e71-156d884be613,The bank returned the decline code `insufficient_funds`.,2020-05-09 14:15,"49,00","0,00",usd,Failed,cus_GhMQn2MMmzAgyC,false,src_1G9xgqGF2YxxrSPIQWVn47ji,MasterCard,prepaid,12,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggq9uGF2YxxrSPI1FQOQ857,Charge for payment bef4301d-bf3e-47cc-984a-30e3e0ef9af2,Payment complete.,2020-05-09 10:43,"49,00","0,00",usd,Paid,cus_HFKp75z0K8b4CS,true,src_1Ggq8rGF2YxxrSPIkcWUA4eQ,Visa,debit,7,2023,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GgomkGF2YxxrSPIjWPrEEvt,Invoice F1C4194F-0007,Payment complete.,2020-05-09 09:15,"49,00","0,00",usd,Paid,cus_G97LzXWsuplu04,true,src_1Fcp6FGF2YxxrSPIc4fV4HgY,Visa,credit,10,2023,us,US,,pass,pass,in_1GgnqVGF2YxxrSPIv1cdfOFZ,F1C4194F-0007,card,,,,,,pi_1GgomkGF2YxxrSPIrIrBQjSV,US 2020-4317,
ch_1GgnpqGF2YxxrSPI90wvW1nw,Charge for payment a981a19d-564b-46c4-8b96-4335c3572c8c,Stripe blocked this payment as too risky.,2020-05-09 08:15,"49,00","0,00",usd,Failed,cus_GgRN228M6l4Hhu,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,us,US,,unavailable,unavailable,,,card,,,,,,,,US
ch_1GgmbWGF2YxxrSPIM8QvwGDF,Charge for payment 60874802-0430-432b-872a-20a87b3f1ba6,Payment complete.,2020-05-09 06:56,"49,00","0,00",usd,Paid,cus_GhY6ieskl3EPJz,true,src_1GA8yRGF2YxxrSPIt1XzQzic,Visa,credit,9,2021,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GgmXKGF2YxxrSPILxudb7Zj,Charge for payment 6b880b44-bb0a-4d27-94bc-64c837dd237f,Payment complete.,2020-05-09 06:51,"49,00","0,00",usd,Paid,cus_GhXZPV41kw3LC2,true,src_1GA8StGF2YxxrSPINxtDg89B,Visa,credit,6,2023,us,US,,pass,pass,,,card,,,,,,,,US
ch_1GglxiGF2YxxrSPIW8Ap1ERh,Charge for payment efe22ac6-6392-4eb5-a04f-c25dac78c872,The bank returned the decline code `do_not_honor`.,2020-05-09 06:15,"49,00","0,00",usd,Failed,cus_GfEHNMrJvBxe0s,false,src_1G7tm8GF2YxxrSPIQJJuctVb,Visa,credit,7,2020,us,US,,pass,pass,,,card,,,,,,,,US
ch_1Ggic0GF2YxxrSPIfan6nLuR,Charge for payment 3cfe8561-dff1-4152-9b34-e61b117bb26d,Payment complete.,2020-05-09 02:40,"49,00","0,00",usd,Paid,cus_HFD26t5HAuAlNB,true,src_1GgibbGF2YxxrSPIDcQIooif,MasterCard,debit,3,2023,us,US,pass,pass,pass,,,card,,,,,,,,US
ch_1GgiHMGF2YxxrSPINsTqxhZ4,Charge for payment 18db1bf7-f768-49fe-bfbc-c83fd58f519b,Payment complete.,2020-05-09 02:19,"49,00","0,00",usd,Paid,cus_HFCgcJCjuJUchJ,true,src_1GgiGLGF2YxxrSPInnytnVTT,American Express,credit,12,2024,us,US,pass,pass,pass,,,card,,,,,,,,US
