id,Description,Seller Message,Created (UTC),Amount,Currency,Status,Statement Descriptor,Customer ID,Customer Description,Customer Email,Captured,Card ID,Card Brand,Card Funding,Card Exp Month,Card Exp Year,Card CVC Status,Card AVS Zip Status,Card AVS Line1 Status,Invoice ID,Invoice Number,Transfer,Merchant Service Charge,invoiceNumber (metadata),mySugr-Backend-Region (metadata)
ch_1GhKNTGF2YxxrSPIWWeENKLR,Charge for payment 66e717f6-f5f3-4537-8c93-039bc7a3f9fe,Payment complete.,2020-05-10 18:59,"49,00",usd,Paid,,cus_HFq3Ha3Fh31sEb,,,true,src_1GhKJJGF2YxxrSPIy7EaWDPb,MasterCard,debit,10,2022,pass,pass,pass,,,,,,US
ch_1GhJgJGF2YxxrSPI76jzH6i9,Charge for payment 09cc18ae-6232-435d-aac7-24c00cc3646e,The bank returned the decline code `do_not_honor`.,2020-05-10 18:15,"49,00",usd,Failed,,cus_Gaz70FBIL8S6x8,,,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,,unavailable,unavailable,,,,,,US
ch_1GhJgAGF2YxxrSPIl47h8sBr,Charge for payment 2f1159cc-c12e-4e2b-a898-6e21ece897af,The bank returned the decline code `stolen_card`.,2020-05-10 18:15,"49,00",usd,Failed,,cus_FKmt81qeNtFYJv,,,false,src_1Eq7KIGF2YxxrSPII1PnMSDR,Visa,debit,3,2023,,unavailable,unavailable,,,,,,US
ch_1GhJg5GF2YxxrSPIM36CGXp2,Charge for payment 779b51e7-5f5e-4889-8701-24e589284f86,The bank returned the decline code `transaction_not_allowed`.,2020-05-10 18:15,"49,00",usd,Failed,,cus_GnaR79aVD1ZbCW,,,false,src_1GFzCXGF2YxxrSPIAwwgbfrO,MasterCard,debit,10,2022,,unavailable,unavailable,,,,,,US
ch_1GhJUhGF2YxxrSPIlwojkkFM,Invoice F610E931-0005,Payment complete.,2020-05-10 18:03,"49,00",usd,Paid,mySugr Bundle US,cus_GWTqj0BRPqa7Va,,,true,src_1FzQsWGF2YxxrSPITF9O7Sfc,Visa,debit,9,2021,,pass,pass,in_1GhIYaGF2YxxrSPIDWlsw1Lm,F610E931-0005,,,US 2020-4347,
ch_1GhHqBGF2YxxrSPIYOs5kVMa,Invoice 70AF382-0017,Payment complete.,2020-05-10 16:17,"49,00",usd,Paid,mySugr Bundle US,cus_EJigrLUYO0No6l,,,true,src_1Dr5GiGF2YxxrSPIyZceYWi5,Visa,credit,7,2023,,pass,,in_1GhGu2GF2YxxrSPI2CgyHrMM,70AF382-0017,,,US 2020-4344,
ch_1GhHiTGF2YxxrSPIX0wG3mzK,Charge for payment 0da82482-bdb9-4257-8bdd-60ab588b5d97,Payment complete.,2020-05-10 16:09,"49,00",usd,Paid,,cus_HFnIzVr2O9HBLZ,,,true,src_1GhHhoGF2YxxrSPIixyVqi2P,Visa,credit,12,2023,pass,pass,pass,,,,,,US
ch_1GhHRoGF2YxxrSPIiOc3DBev,Charge for payment 2350f02b-c0a8-4f8c-92e1-defa660e940e,Payment complete.,2020-05-10 15:52,"49,00",usd,Paid,,cus_Gi3gnrQKBJYUuI,,,true,src_1GAdYyGF2YxxrSPI004ca4pE,Visa,credit,12,2023,,pass,pass,,,,,,US
ch_1GhGWBGF2YxxrSPIq7yDpHFx,Charge for payment 707774c8-88e5-4642-bafc-99cb5235c4d6,The bank returned the decline code `do_not_honor`.,2020-05-10 14:52,"49,00",usd,Failed,,cus_H4WDnUVJkfSrpP,,,false,src_1GWNAyGF2YxxrSPIkucJXQlS,MasterCard,credit,3,2023,,pass,pass,,,,,,US
ch_1GhGL2GF2YxxrSPIG5cmbp40,Invoice 51BAA06B-0006,Payment complete.,2020-05-10 14:41,"49,00",usd,Paid,mySugr Bundle US,cus_GKoamJ1tlvMBsc,,,true,src_1Fo8wrGF2YxxrSPIm1bJwutl,Visa,credit,10,2024,,pass,pass,in_1GhFOrGF2YxxrSPIKjMQcXPp,51BAA06B-0006,,,US 2020-4340,
ch_1GhGG1GF2YxxrSPI4dfuMH0J,Invoice 40483FC9-0005,The bank returned the decline code `insufficient_funds`.,2020-05-10 14:35,"49,00",usd,Failed,mySugr Bundle US,cus_GWQV0atss19yl7,,,false,card_1GB6zZGF2YxxrSPIJZE0Mpbg,Visa,debit,1,2023,,,,in_1GhFJqGF2YxxrSPIJSMqjiVW,40483FC9-0005,,,,
ch_1GhFvrGF2YxxrSPIiuhduOZm,Charge for payment f8a06c72-dfb2-4077-86b4-77248e14aea2,The bank returned the decline code `do_not_honor`.,2020-05-10 14:15,"49,00",usd,Failed,,cus_GamVDWqW351YzH,,,false,src_1G3aqeGF2YxxrSPI4vT91Sq7,Visa,credit,12,2023,,pass,pass,,,,,,US
ch_1GhF9gGF2YxxrSPIirRaxcGn,Invoice FB7A9A8E-0007,Payment complete.,2020-05-10 13:25,"49,00",usd,Paid,mySugr Bundle US,cus_G9YaF1z7tSlY8o,,,true,card_1GGoZ4GF2YxxrSPI173qzLsl,Visa,debit,3,2023,,,,in_1GhEDXGF2YxxrSPIYxWpsHD4,FB7A9A8E-0007,,,US 2020-4338,
ch_1GhDffGF2YxxrSPI7S2jhwmt,Charge for payment 8f6ce891-fb62-41fe-898e-fb8d53ac9e74,Payment complete.,2020-05-10 11:50,"49,00",usd,Paid,,cus_HFj7dkh8RgzHHd,,,true,src_1GhDelGF2YxxrSPIvE03Ngbl,Visa,credit,1,2024,pass,pass,pass,,,,,,US
ch_1GhDEUGF2YxxrSPIF2Qv53sc,Invoice 8169F3A-0035,Payment complete.,2020-05-10 11:22,"49,00",usd,Paid,mySugr Bundle US,cus_Bqfv4gRoJdsWEy,,,true,src_1FzKc5GF2YxxrSPI4DIIZIuF,American Express,credit,8,2023,,pass,pass,in_1GhCIMGF2YxxrSPIJw237gsG,8169F3A-0035,,,US 2020-4336,
ch_1GhCiaGF2YxxrSPIPhrdIC4B,Charge for payment a4e8040f-a3ec-4612-9664-572b329c6d23,Payment complete.,2020-05-10 10:49,"49,00",usd,Paid,,cus_HFi8aSQQ9CCz4N,,,true,src_1GhChjGF2YxxrSPIlEY9jl3L,Visa,credit,10,2021,pass,pass,pass,,,,,,US
ch_1GhCC3GF2YxxrSPIVbIhUCFv,Charge for payment 0f6b86e1-0980-4b1a-aaef-a5b7f4ccc579,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_GamVDWqW351YzH,,,false,src_1G3aqeGF2YxxrSPI4vT91Sq7,Visa,credit,12,2023,,pass,pass,,,,,,US
ch_1GhCBxGF2YxxrSPIfJloqeC8,Charge for payment 440784ec-6a09-4954-b5f7-1fa3a2dafb60,The bank returned the decline code `transaction_not_allowed`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_GnaR79aVD1ZbCW,,,false,src_1GFzCXGF2YxxrSPIAwwgbfrO,MasterCard,debit,10,2022,,unavailable,unavailable,,,,,,US
ch_1GhCBrGF2YxxrSPIV5wnDqG4,Charge for payment 101e219d-7c11-4746-a866-b62b0f246347,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_Gk1pCDKrODks6U,,,false,src_1GCXkWGF2YxxrSPI9dOPuNYL,Visa,debit,1,2021,,pass,pass,,,,,,US
ch_1GhCBnGF2YxxrSPIwLBgzjTP,Charge for payment 5915a289-db29-46e6-b71e-585b844cc429,The bank returned the decline code `incorrect_number`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_GZafzD5Dax7aav,,,false,src_1G2RUCGF2YxxrSPI02aVeB2Z,Visa,debit,9,2022,,pass,pass,,,,,,US
ch_1GhCBiGF2YxxrSPIQQYgkgv3,Charge for payment 34248703-fc15-44f1-bdb6-c40c362262b5,The bank returned the decline code `do_not_honor`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_Gx7VLaS2Js2Ux2,,,false,src_1GPDG0GF2YxxrSPI0jCm0K6i,Visa,credit,4,2023,,pass,pass,,,,,,US
ch_1GhCBdGF2YxxrSPIY93tngA3,Charge for payment af196bfe-b4b0-4c34-adf7-bfef9b06bc96,The bank returned the decline code `incorrect_number`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_GbmsfbNXfJV4EX,,,false,src_1G4ZHhGF2YxxrSPISh30A00m,Visa,debit,4,2021,,pass,pass,,,,,,US
ch_1GhCBXGF2YxxrSPIoxVAdxZ5,Charge for payment 792c16fc-3cfa-4e2e-837a-3fff92af651e,The bank returned the decline code `insufficient_funds`.,2020-05-10 10:15,"49,00",usd,Failed,,cus_GoaaJez9NKtgn4,,,false,src_1GGxOjGF2YxxrSPIKNTS3Kar,Visa,credit,2,2023,,pass,pass,,,,,,US
ch_1GhBsxGF2YxxrSPIG1eOUaXU,Charge for payment c3ad8480-f998-4546-96c8-fed030fbcb82,Payment complete.,2020-05-10 09:55,"49,00",usd,Paid,,cus_HFhH14XOgLXTJB,,,true,src_1GhBs5GF2YxxrSPIYS4kfePG,MasterCard,debit,10,2020,pass,pass,pass,,,,,,US
ch_1Gh77GGF2YxxrSPIA1c2ct3s,Charge for payment fabfbc29-534e-4267-94ef-048499fb4fbf,Payment complete.,2020-05-10 04:50,"49,00",usd,Paid,,cus_GhtHDmC95Zip18,,,true,src_1GATTdGF2YxxrSPIr71QN8LU,MasterCard,credit,8,2021,,pass,pass,,,,,,US
ch_1Gh6ZHGF2YxxrSPIxnOEYK53,Charge for payment 1e959604-7ae4-43bb-9bbc-a8733de82900,The bank returned the decline code `do_not_honor`.,2020-05-10 04:15,"49,00",usd,Failed,,cus_GgRN228M6l4Hhu,,,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,,fail,fail,,,,,,US
ch_1Gh6Z8GF2YxxrSPIr7WBRTze,Charge for payment 7fea0e31-1048-406a-bea7-2dc7d3ea33b0,The bank returned the decline code `do_not_honor`.,2020-05-10 04:15,"49,00",usd,Failed,,cus_GqRbAwxmcvyPSC,,,false,src_1GIkhsGF2YxxrSPInXj6Dh6L,MasterCard,credit,1,2023,,pass,pass,,,,,,US
ch_1Gh3OFGF2YxxrSPIXfObmcvD,Charge for payment c8157401-57d1-4319-a131-5ba71a1668bc,Payment complete.,2020-05-10 00:51,"49,00",usd,Paid,,cus_H4IV4C26bQYxwX,,,true,src_1GW9s7GF2YxxrSPI5Q1IXmF2,MasterCard,debit,10,2022,,pass,pass,,,,,,US
ch_1Gh2VqGF2YxxrSPIsLiZ4Z6k,Charge for payment 92187b73-4513-49b2-a79c-e12f45283237,Payment complete.,2020-05-09 23:55,"49,00",usd,Paid,,cus_HFXaCvGrmiw7rk,,,true,src_1Gh2UrGF2YxxrSPI8jxJ1K4k,Visa,debit,9,2021,pass,pass,pass,,,,,,US
ch_1Gh2SfGF2YxxrSPImlAx1e12,Charge for payment 6e824ad7-0d7e-4287-bf5c-87bcffe41d5b,Payment complete.,2020-05-09 23:52,"49,00",usd,Paid,,cus_GhoG0TEwaLJJUA,,,true,src_1GAOdSGF2YxxrSPIHlqzSNJ6,MasterCard,credit,9,2023,,pass,pass,,,,,,US
ch_1Gh1d2GF2YxxrSPIvDfpFVgz,Invoice 4FEDBD24-0014,Payment complete.,2020-05-09 22:58,"49,00",usd,Paid,mySugr Bundle US,cus_EnnFBMUBFNRwn1,,,true,card_1GfZpiGF2YxxrSPIW2GchCNT,Visa,credit,9,2024,,,,in_1Ge6s5GF2YxxrSPIxyaT8AYS,4FEDBD24-0014,,,US 2020-4327,
ch_1Gh0wjGF2YxxrSPIwN2nExDe,Charge for payment c75931c5-917f-4fc6-bdba-bab77a6b0099,The bank returned the decline code `stolen_card`.,2020-05-09 22:15,"49,00",usd,Failed,,cus_FKmt81qeNtFYJv,,,false,src_1Eq7KIGF2YxxrSPII1PnMSDR,Visa,debit,3,2023,,unavailable,unavailable,,,,,,US
ch_1Gh0fgGF2YxxrSPIhT8kuxW7,Invoice 733391F0-0007,Payment complete.,2020-05-09 21:57,"49,00",usd,Paid,mySugr Bundle US,cus_G9Il0VOwnqRsBJ,,,true,src_1Fd0zcGF2YxxrSPIkH0wMDfg,MasterCard,credit,9,2024,,pass,pass,in_1GgzjaGF2YxxrSPIMl91Lcmf,733391F0-0007,,,US 2020-4326,
ch_1Ggz58GF2YxxrSPIez2oldak,Charge for payment 0ea43408-ee48-48f2-bff5-0718f7ff7198,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_Gaz70FBIL8S6x8,,,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,,unavailable,unavailable,,,,,,US
ch_1Ggz56GF2YxxrSPIDihWaOOp,Charge for payment 5e28e662-a197-40d1-891a-808668d123c2,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_GgRN228M6l4Hhu,,,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,,fail,fail,,,,,,US
ch_1Ggz52GF2YxxrSPIbtkPpJAz,Charge for payment 8444c109-5e47-482e-acbe-730ca1823b44,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_Gk1pCDKrODks6U,,,false,src_1GCXkWGF2YxxrSPI9dOPuNYL,Visa,debit,1,2021,,pass,pass,,,,,,US
ch_1Ggz4wGF2YxxrSPISPaBdv9N,Charge for payment 2d3d5939-a554-4d87-9f86-26963df3c714,The bank returned the decline code `incorrect_number`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_GbmsfbNXfJV4EX,,,false,src_1G4ZHhGF2YxxrSPISh30A00m,Visa,debit,4,2021,,pass,pass,,,,,,US
ch_1Ggz4tGF2YxxrSPImdpqd3RS,Charge for payment 0cc3b9f4-173c-49c3-a7b0-d15e8d8c2100,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_GfEHNMrJvBxe0s,,,false,src_1G7tm8GF2YxxrSPIQJJuctVb,Visa,credit,7,2020,,pass,pass,,,,,,US
ch_1Ggz4oGF2YxxrSPICwJ2pZie,Charge for payment 27bd83bc-4c47-4ddc-9ba8-221f8fdabee6,The bank returned the decline code `incorrect_number`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_GjjAnhCiQE3h8y,,,false,src_1GCFgpGF2YxxrSPIwtowGYYs,Visa,debit,8,2023,,pass,pass,,,,,,US
ch_1Ggz4jGF2YxxrSPIKFfyszxA,Charge for payment 6a43ce60-c6ef-4092-a179-a6a011ada24a,The bank returned the decline code `do_not_honor`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_GoQ5nh9gA3g6Xc,,,false,src_1GGnFTGF2YxxrSPIBqMU4nAy,Visa,debit,6,2022,,pass,pass,,,,,,US
ch_1Ggz4dGF2YxxrSPIZJqrcXfN,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 20:15,"49,00",usd,Failed,,cus_Fo1Zr8JP3lCPbz,,,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,,pass,pass,,,,,,US
ch_1GgxfrGF2YxxrSPIXcNl3tYm,Invoice A45DC0E6-0014,Payment complete.,2020-05-09 18:45,"49,00",usd,Paid,mySugr Bundle US,cus_Er6CYX0hjZkYvG,,,true,card_1FSWG1GF2YxxrSPINKO1QJ5o,Visa,credit,3,2024,,,,in_1GgwjgGF2YxxrSPIuhmletKx,A45DC0E6-0014,,,US 2020-4325,
ch_1GgxCTGF2YxxrSPIaQ8i0Wjm,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 18:15,"49,00",usd,Failed,,cus_Fo1Zr8JP3lCPbz,,,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,,pass,pass,,,,,,US
ch_1GgwqOGF2YxxrSPIpaxkEF7L,Charge for payment 8fe29f37-5875-4eb4-95b2-3b06d431f815,Payment complete.,2020-05-09 17:52,"49,00",usd,Paid,,cus_H4CJt1uxkneIiw,,,true,src_1GW3tJGF2YxxrSPIZzyUTXCv,MasterCard,credit,6,2023,,pass,pass,,,,,,US
ch_1GgvVoGF2YxxrSPIPN8MFmBr,Charge for payment 1fff3321-19ca-46d3-8894-d9577619d1fc,Payment complete.,2020-05-09 16:26,"49,00",usd,Paid,,cus_HFQLdM4eqQZ52Z,,,true,src_1GgvTgGF2YxxrSPIt1z2c9on,Visa,debit,2,2024,pass,pass,pass,,,,,,US
ch_1GgvKeGF2YxxrSPIJdAo907L,Charge for payment 0ea43408-ee48-48f2-bff5-0718f7ff7198,The bank returned the decline code `do_not_honor`.,2020-05-09 16:15,"49,00",usd,Failed,,cus_Gaz70FBIL8S6x8,,,false,src_1G3n8bGF2YxxrSPIa17jDmIo,Visa,prepaid,11,2023,,unavailable,unavailable,,,,,,US
ch_1GgvKbGF2YxxrSPIh1PsehPA,Charge for payment 5e28e662-a197-40d1-891a-808668d123c2,The bank returned the decline code `do_not_honor`.,2020-05-09 16:15,"49,00",usd,Failed,,cus_GgRN228M6l4Hhu,,,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,,fail,fail,,,,,,US
ch_1GgvKUGF2YxxrSPIgxSizJra,Charge for payment 27bd83bc-4c47-4ddc-9ba8-221f8fdabee6,The bank returned the decline code `incorrect_number`.,2020-05-09 16:15,"49,00",usd,Failed,,cus_GjjAnhCiQE3h8y,,,false,src_1GCFgpGF2YxxrSPIwtowGYYs,Visa,debit,8,2023,,pass,pass,,,,,,US
ch_1GgvKMGF2YxxrSPIHWOxCwDj,Charge for payment 19ad71c6-91bb-42f3-9820-ff61a6c677f0,The bank returned the decline code `insufficient_funds`.,2020-05-09 16:15,"49,00",usd,Failed,,cus_Fo1Zr8JP3lCPbz,,,false,src_1FIPUEGF2YxxrSPIocs9NuGy,Visa,debit,5,2023,,pass,pass,,,,,,US
ch_1GgtSQGF2YxxrSPIDdlq7xs4,Charge for payment 4c18457c-f0e0-4403-a3b9-cc542257a3e3,The bank returned the decline code `do_not_honor`.,2020-05-09 14:15,"49,00",usd,Failed,,cus_GoQ5nh9gA3g6Xc,,,false,src_1GGnFTGF2YxxrSPIBqMU4nAy,Visa,debit,6,2022,,pass,pass,,,,,,US
ch_1GgtSJGF2YxxrSPIv4n6r5hI,Charge for payment 4806f13f-1d8f-4684-9e71-156d884be613,The bank returned the decline code `insufficient_funds`.,2020-05-09 14:15,"49,00",usd,Failed,,cus_GhMQn2MMmzAgyC,,,false,src_1G9xgqGF2YxxrSPIQWVn47ji,MasterCard,prepaid,12,2021,,pass,pass,,,,,,US
ch_1Ggq9uGF2YxxrSPI1FQOQ857,Charge for payment bef4301d-bf3e-47cc-984a-30e3e0ef9af2,Payment complete.,2020-05-09 10:43,"49,00",usd,Paid,,cus_HFKp75z0K8b4CS,,,true,src_1Ggq8rGF2YxxrSPIkcWUA4eQ,Visa,debit,7,2023,pass,pass,pass,,,,,,US
ch_1GgomkGF2YxxrSPIjWPrEEvt,Invoice F1C4194F-0007,Payment complete.,2020-05-09 09:15,"49,00",usd,Paid,mySugr Bundle US,cus_G97LzXWsuplu04,,,true,src_1Fcp6FGF2YxxrSPIc4fV4HgY,Visa,credit,10,2023,,pass,pass,in_1GgnqVGF2YxxrSPIv1cdfOFZ,F1C4194F-0007,,,US 2020-4317,
ch_1GgnpqGF2YxxrSPI90wvW1nw,Charge for payment a981a19d-564b-46c4-8b96-4335c3572c8c,Stripe blocked this payment as too risky.,2020-05-09 08:15,"49,00",usd,Failed,,cus_GgRN228M6l4Hhu,,,false,src_1G94QdGF2YxxrSPIfHC7pVWw,Visa,debit,11,2024,,unavailable,unavailable,,,,,,US
ch_1GgmbWGF2YxxrSPIM8QvwGDF,Charge for payment 60874802-0430-432b-872a-20a87b3f1ba6,Payment complete.,2020-05-09 06:56,"49,00",usd,Paid,,cus_GhY6ieskl3EPJz,,,true,src_1GA8yRGF2YxxrSPIt1XzQzic,Visa,credit,9,2021,,pass,pass,,,,,,US
ch_1GgmXKGF2YxxrSPILxudb7Zj,Charge for payment 6b880b44-bb0a-4d27-94bc-64c837dd237f,Payment complete.,2020-05-09 06:51,"49,00",usd,Paid,,cus_GhXZPV41kw3LC2,,,true,src_1GA8StGF2YxxrSPINxtDg89B,Visa,credit,6,2023,,pass,pass,,,,,,US
ch_1GglxiGF2YxxrSPIW8Ap1ERh,Charge for payment efe22ac6-6392-4eb5-a04f-c25dac78c872,The bank returned the decline code `do_not_honor`.,2020-05-09 06:15,"49,00",usd,Failed,,cus_GfEHNMrJvBxe0s,,,false,src_1G7tm8GF2YxxrSPIQJJuctVb,Visa,credit,7,2020,,pass,pass,,,,,,US
ch_1Ggic0GF2YxxrSPIfan6nLuR,Charge for payment 3cfe8561-dff1-4152-9b34-e61b117bb26d,Payment complete.,2020-05-09 02:40,"49,00",usd,Paid,,cus_HFD26t5HAuAlNB,,,true,src_1GgibbGF2YxxrSPIDcQIooif,MasterCard,debit,3,2023,pass,pass,pass,,,,,,US
ch_1GgiHMGF2YxxrSPINsTqxhZ4,Charge for payment 18db1bf7-f768-49fe-bfbc-c83fd58f519b,Payment complete.,2020-05-09 02:19,"49,00",usd,Paid,,cus_HFCgcJCjuJUchJ,,,true,src_1GgiGLGF2YxxrSPInnytnVTT,American Express,credit,12,2024,pass,pass,pass,,,,,,US
ch_1GgfboGF2YxxrSPIrDdIiCbe,Invoice E26E1CE-0016,Payment complete.,2020-05-08 23:28,"49,00",usd,Paid,mySugr Bundle US,cus_EUhDW3Dpk9cYvR,,,true,src_1E1hoqGF2YxxrSPI6e3TVeAU,Visa,credit,11,2020,,pass,,in_1GgefZGF2YxxrSPIjYyKwCAz,E26E1CE-0016,,,US 2020-4309,
ch_1Ggf1DGF2YxxrSPI4XVe8LMz,Charge for payment 03855beb-ee7e-4e49-8961-0f3f433dc187,Payment complete.,2020-05-08 22:50,"49,00",usd,Paid,,cus_GhQBJ92Sh52CIJ,,,true,src_1GA1L3GF2YxxrSPIOMnl4yNA,Visa,debit,2,2025,,pass,pass,,,,,,US
ch_1GgeaKGF2YxxrSPIlUva6jEj,Invoice 3474789F-0005,Payment complete.,2020-05-08 22:22,"49,00",usd,Paid,mySugr Bundle US,cus_GVnZYTNyrVl2oz,,,true,src_1FylxyGF2YxxrSPIRTHao93T,Visa,credit,5,2022,,pass,pass,in_1GgddqGF2YxxrSPI8K3Ca3Uv,3474789F-0005,,,US 2020-4307,
ch_1GgeTMGF2YxxrSPIahwzH7q9,Charge for payment 721f3991-06da-4101-822b-6b9296db1951,The bank returned the decline code `pickup_card`.,2020-05-08 22:15,"49,00",usd,Failed,,cus_GqvwrNTZLRhbXE,,,false,src_1GJE3oGF2YxxrSPIVndgRVmz,MasterCard,credit,4,2023,,pass,pass,,,,,,US
ch_1GgeTEGF2YxxrSPIYY9dklHC,Charge for payment 36c8988f-ce05-4c63-b91a-156022713447,The bank returned the decline code `do_not_honor`.,2020-05-08 22:15,"49,00",usd,Failed,,cus_GbIC7H7p4jaYxn,,,false,src_1G45ZPGF2YxxrSPIH6mM6FbE,Visa,debit,9,2024,,unavailable,unavailable,,,,,,US
ch_1GgdugGF2YxxrSPI1UgUeyvD,Invoice 49DD2234-0011,Payment complete.,2020-05-08 21:39,"49,00",usd,Paid,mySugr Bundle US,cus_FOrKnpu9l5FsLR,,,true,src_1Eu3bKGF2YxxrSPIuJ5690Ws,Visa,credit,10,2023,,pass,pass,in_1GgcyXGF2YxxrSPIdLRqnZiS,49DD2234-0011,,,US 2020-4305,
